         162598121 function calls (162250956 primitive calls) in 223.822 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
6659/3664    0.011    0.000    3.079    0.001 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:268(_isna_array)
     3313    0.004    0.000    3.056    0.001 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/dtypes/missing.py:309(_isna_string_dtype)
      117    3.046    0.026    3.046    0.026 {pandas._libs.writers.write_csv_rows}
       56    0.001    0.000    2.998    0.054 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/reshape/merge.py:1098(_get_merge_keys)
       44    0.000    0.000    2.990    0.068 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:1871(_drop_labels_or_levels)
      190    0.004    0.000    2.934    0.015 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/managers.py:742(<listcomp>)
     1560    0.003    0.000    2.761    0.002 <__array_function__ internals>:177(concatenate)
242830/241579    0.596    0.000    2.681    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/descriptors/serialisable.py:46(from_tree)
   668024    0.393    0.000    2.655    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/indexes/base.py:5404(_can_hold_identifiers_and_holds_name)
       34    0.000    0.000    2.579    0.076 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/base.py:990(isin)
     3195    2.566    0.001    2.566    0.001 {built-in method pandas._libs.missing.isnaobj}
      152    0.010    0.000    2.527    0.017 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/concat.py:176(concatenate_managers)
   158833    1.479    0.000    2.507    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:366(_C4coeff)
   158833    1.400    0.000    2.340    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:339(_C3coeff)
        1    0.077    0.077    2.275    2.275 enrichissement.py:268(apply_luhn)
   483362    1.444    0.000    2.242    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:204(_C1f)
   667992    0.621    0.000    2.212    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/series.py:1072(_get_value)
        1    0.207    0.207    2.027    2.027 enrichissement.py:164(get_code_arrondissement)
     1146    0.002    0.000    2.022    0.002 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/blocks.py:544(copy)
      585    0.003    0.000    1.951    0.003 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/blocks.py:859(take_nd)
   651605    0.814    0.000    1.942    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geopy/point.py:56(_normalize_coordinates)
      595    0.002    0.000    1.926    0.003 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1756(take_nd)
      611    0.002    0.000    1.923    0.003 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/_mixins.py:154(take)
        1    0.000    0.000    1.844    1.844 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/excel/_base.py:1700(parse)
        1    0.001    0.001    1.844    1.844 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/excel/_base.py:697(parse)
  1642898    1.693    0.000    1.834    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:121(_SinCosSeries)
        1    0.020    0.020    1.832    1.832 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/io/excel/_openpyxl.py:606(get_sheet_data)
        1    0.208    0.208    1.818    1.818 enrichissement.py:184(get_libelle_arrondissement)
        1    0.202    0.202    1.812    1.812 enrichissement.py:117(enrichissement_departement)
   476499    0.981    0.000    1.694    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geomath.py:167(sincosd)
      626    0.005    0.000    1.673    0.003 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:3755(__getitem__)
        2    0.094    0.047    1.668    0.834 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:10061(merge)
    61588    0.028    0.000    1.655    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/_mixins.py:283(__getitem__)
      232    0.002    0.000    1.652    0.007 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/generic.py:4097(_slice)
      232    0.008    0.000    1.645    0.007 {method 'get_slice' of 'pandas._libs.internals.BlockManager' objects}
     3309    0.005    0.000    1.636    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1823(getitem_block_index)
   668143    0.297    0.000    1.630    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/indexes/base.py:2582(is_object)
   241515    0.255    0.000    1.575    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/cell/text.py:161(__init__)
     9456    0.014    0.000    1.560    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/openpyxl/worksheet/_read_only.py:58(_cells_by_row)
        3    1.505    0.502    1.505    0.502 {built-in method _pickle.dump}
       24    0.227    0.009    1.482    0.062 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/strings/accessor.py:3231(cat_safe)
      384    0.001    0.000    1.480    0.004 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/arrays/_mixins.py:121(view)
   338087    0.900    0.000    1.454    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:254(_C2f)
       24    0.000    0.000    1.437    0.060 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/strings/accessor.py:618(<listcomp>)
   324529    0.769    0.000    1.431    0.000 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/geographiclib/geodesic.py:404(_C3f)
       59    0.000    0.000    1.427    0.024 /home/gaspard/Documents/env/augmente/lib/python3.8/site-packages/pandas/core/frame.py:5240(drop)
